"name","option","category","confidence","estimate"
"Derek Maclellan","option_1","category_1",80,0.02
"Derek Maclellan","option_1","category_2",80,0.02
"Derek Maclellan","option_1","category_3",80,0.01
"Derek Maclellan","option_1","category_4",80,0.87
"Derek Maclellan","option_1","category_5",80,0.08
"Derek Maclellan","option_2","category_1",50,0.11
"Derek Maclellan","option_2","category_2",50,0.09
"Derek Maclellan","option_2","category_3",50,0.17
"Derek Maclellan","option_2","category_4",50,0.09
"Derek Maclellan","option_2","category_5",50,0.54
"Derek Maclellan","option_3","category_1",15,0.59
"Derek Maclellan","option_3","category_2",15,0.08
"Derek Maclellan","option_3","category_3",15,0.11
"Derek Maclellan","option_3","category_4",15,0
"Derek Maclellan","option_3","category_5",15,0.22
"Christopher Felix","option_1","category_1",25,0.26
"Christopher Felix","option_1","category_2",25,0.38
"Christopher Felix","option_1","category_3",25,0.16
"Christopher Felix","option_1","category_4",25,0.08
"Christopher Felix","option_1","category_5",25,0.12
"Christopher Felix","option_2","category_1",100,0.42
"Christopher Felix","option_2","category_2",100,0.19
"Christopher Felix","option_2","category_3",100,0.15
"Christopher Felix","option_2","category_4",100,0
"Christopher Felix","option_2","category_5",100,0.24
"Christopher Felix","option_3","category_1",55,0.2
"Christopher Felix","option_3","category_2",55,0.3
"Christopher Felix","option_3","category_3",55,0.12
"Christopher Felix","option_3","category_4",55,0.06
"Christopher Felix","option_3","category_5",55,0.32
"Mar'Quasa Banks","option_1","category_1",60,0.04
"Mar'Quasa Banks","option_1","category_2",60,0.45
"Mar'Quasa Banks","option_1","category_3",60,0.11
"Mar'Quasa Banks","option_1","category_4",60,0.24
"Mar'Quasa Banks","option_1","category_5",60,0.16
"Mar'Quasa Banks","option_2","category_1",15,0.24
"Mar'Quasa Banks","option_2","category_2",15,0.31
"Mar'Quasa Banks","option_2","category_3",15,0.21
"Mar'Quasa Banks","option_2","category_4",15,0.02
"Mar'Quasa Banks","option_2","category_5",15,0.22
"Mar'Quasa Banks","option_3","category_1",75,0.07
"Mar'Quasa Banks","option_3","category_2",75,0.12
"Mar'Quasa Banks","option_3","category_3",75,0.15
"Mar'Quasa Banks","option_3","category_4",75,0.57
"Mar'Quasa Banks","option_3","category_5",75,0.09
"Mastoora al-Abdalla","option_1","category_1",100,0.4
"Mastoora al-Abdalla","option_1","category_2",100,0.37
"Mastoora al-Abdalla","option_1","category_3",100,0.22
"Mastoora al-Abdalla","option_1","category_4",100,0
"Mastoora al-Abdalla","option_1","category_5",100,0.01
"Mastoora al-Abdalla","option_2","category_1",0,0.39
"Mastoora al-Abdalla","option_2","category_2",0,0.28
"Mastoora al-Abdalla","option_2","category_3",0,0.01
"Mastoora al-Abdalla","option_2","category_4",0,0.27
"Mastoora al-Abdalla","option_2","category_5",0,0.05
"Mastoora al-Abdalla","option_3","category_1",70,0.01
"Mastoora al-Abdalla","option_3","category_2",70,0.01
"Mastoora al-Abdalla","option_3","category_3",70,0.01
"Mastoora al-Abdalla","option_3","category_4",70,0.86
"Mastoora al-Abdalla","option_3","category_5",70,0.11
"Eriberto Munguia","option_1","category_1",95,0.15
"Eriberto Munguia","option_1","category_2",95,0.22
"Eriberto Munguia","option_1","category_3",95,0.01
"Eriberto Munguia","option_1","category_4",95,0.47
"Eriberto Munguia","option_1","category_5",95,0.15
"Eriberto Munguia","option_2","category_1",90,0.01
"Eriberto Munguia","option_2","category_2",90,0.22
"Eriberto Munguia","option_2","category_3",90,0.21
"Eriberto Munguia","option_2","category_4",90,0.18
"Eriberto Munguia","option_2","category_5",90,0.38
"Eriberto Munguia","option_3","category_1",55,0.13
"Eriberto Munguia","option_3","category_2",55,0.01
"Eriberto Munguia","option_3","category_3",55,0.34
"Eriberto Munguia","option_3","category_4",55,0.49
"Eriberto Munguia","option_3","category_5",55,0.03
"Paul Bol","option_1","category_1",75,0.53
"Paul Bol","option_1","category_2",75,0.09
"Paul Bol","option_1","category_3",75,0.12
"Paul Bol","option_1","category_4",75,0.08
"Paul Bol","option_1","category_5",75,0.18
"Paul Bol","option_2","category_1",20,0.28
"Paul Bol","option_2","category_2",20,0.24
"Paul Bol","option_2","category_3",20,0.09
"Paul Bol","option_2","category_4",20,0.14
"Paul Bol","option_2","category_5",20,0.25
"Paul Bol","option_3","category_1",35,0.32
"Paul Bol","option_3","category_2",35,0.05
"Paul Bol","option_3","category_3",35,0.46
"Paul Bol","option_3","category_4",35,0.02
"Paul Bol","option_3","category_5",35,0.15
